Player,Year,RSorPO,Age,Tm,G,FG%,3P%,2P%,FT%,TRB%,AST%,STL%,BLK%,PTS%
Lebron James,2003-04,Regular Season,19,CLE,79,0.417,0.29,0.438,0.754,7.6,27.8,2.2,1.3,20.9
Lebron James,2004-05,Regular Season,20,CLE,80,0.472,0.351,0.499,0.75,10.2,32.9,2.8,1.1,27.2
Lebron James,2005-06,Regular Season,21,CLE,79,0.48,0.335,0.518,0.738,9.8,32.8,2,1.5,31.4
Lebron James,2006-07,Regular Season,22,CLE,78,0.476,0.319,0.513,0.698,9.6,29.1,2.1,1.3,27.3
Lebron James,2007-08,Regular Season,23,CLE,75,0.484,0.315,0.531,0.712,11.1,37.3,2.4,2.1,30
Lebron James,2008-09,Regular Season,24,CLE,81,0.489,0.344,0.535,0.78,11.9,38,2.4,2.4,28.4
Lebron James,2009-10,Regular Season,25,CLE,76,0.503,0.333,0.56,0.767,11.1,41.8,2.2,2,29.7
Lebron James,2010-11,Regular Season,26,MIA,79,0.51,0.33,0.552,0.759,11.4,34.9,2.1,1.3,26.7
Lebron James,2011-12,Regular Season,27,MIA,62,0.531,0.362,0.556,0.771,12.6,33.6,2.6,1.7,27.1
Lebron James,2012-13,Regular Season,28,MIA,76,0.565,0.406,0.602,0.753,13.1,36.4,2.4,1.9,26.8
Lebron James,2013-14,Regular Season,29,MIA,77,0.567,0.379,0.622,0.75,11.5,32,2.2,0.8,27.1
Lebron James,2014-15,Regular Season,30,CLE,69,0.488,0.354,0.536,0.71,9.6,38.6,2.3,1.6,25.3
Lebron James,2015-16,Regular Season,31,CLE,76,0.52,0.309,0.573,0.731,11.8,36,2,1.5,25.3
Lebron James,2016-17,Regular Season,32,CLE,74,0.548,0.363,0.611,0.674,12.6,41.3,1.6,1.3,26.4
Lebron James,2017-18,Regular Season,33,CLE,82,0.542,0.367,0.603,0.731,13.1,44.4,1.9,2,27.5
Lebron James,2018-19,Regular Season,34,LAL,55,0.51,0.339,0.582,0.665,12.4,39.4,1.7,1.4,27.4
Lebron James,2005-06,Playoffs,21,CLE,13,0.476,0.333,0.512,0.737,10.3,28.1,1.7,1.3,30.8
Lebron James,2006-07,Playoffs,22,CLE,20,0.416,0.28,0.448,0.755,10.6,37.4,2.1,1,25.1
Lebron James,2007-08,Playoffs,23,CLE,13,0.411,0.257,0.463,0.731,11.2,40.5,2.3,2.6,28.2
Lebron James,2008-09,Playoffs,24,CLE,14,0.51,0.333,0.571,0.749,14.2,39.5,2.2,1.8,35.3
Lebron James,2009-10,Playoffs,25,CLE,11,0.502,0.4,0.534,0.733,13.3,36.8,2.1,3,29.1
Lebron James,2010-11,Playoffs,26,MIA,21,0.466,0.353,0.5,0.763,11.6,27.6,2.1,2.2,23.7
Lebron James,2011-12,Playoffs,27,MIA,23,0.5,0.259,0.549,0.739,13.8,28.1,2.4,1.3,30.3
Lebron James,2012-13,Playoffs,28,MIA,23,0.491,0.375,0.524,0.777,12.4,30.5,2.3,1.6,25.9
Lebron James,2013-14,Playoffs,29,MIA,20,0.565,0.407,0.618,0.806,12.3,25.6,2.7,1.4,27.4
Lebron James,2014-15,Playoffs,30,CLE,20,0.417,0.227,0.465,0.731,14.7,45.2,2.1,2.1,30.1
Lebron James,2015-16,Playoffs,31,CLE,21,0.525,0.34,0.579,0.661,14.4,36.6,3.2,3.2,26.3
Lebron James,2016-17,Playoffs,32,CLE,18,0.565,0.411,0.625,0.698,12.8,33.8,2.3,2.6,32.8
Lebron James,2017-18,Playoffs,33,CLE,22,0.539,0.342,0.596,0.746,12.9,46.4,1.7,2.3,34
Michael Jordan,1984-85,Regular Season,21,CHI,82,0.515,0.173,0.526,0.845,9.8,25.3,3,1.3,28.2
Michael Jordan,1985-86,Regular Season,22,CHI,18,0.457,0.167,0.474,0.84,8,21.7,3.9,2.7,22.7
